Category: All categories

Day,Coronavirus: (United States)
2020-01-01,<1
2020-01-02,<1
2020-01-03,<1
2020-01-04,<1
2020-01-05,<1
2020-01-06,<1
2020-01-07,<1
2020-01-08,<1
2020-01-09,<1
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,3
2020-01-22,3
2020-01-23,4
2020-01-24,8
2020-01-25,8
2020-01-26,10
2020-01-27,11
2020-01-28,11
2020-01-29,11
2020-01-30,12
2020-01-31,11
2020-02-01,10
2020-02-02,8
2020-02-03,7
2020-02-04,6
2020-02-05,6
2020-02-06,6
2020-02-07,6
2020-02-08,6
2020-02-09,5
2020-02-10,5
2020-02-11,5
2020-02-12,5
2020-02-13,5
2020-02-14,4
2020-02-15,4
2020-02-16,4
2020-02-17,4
2020-02-18,4
2020-02-19,4
2020-02-20,3
2020-02-21,3
2020-02-22,4
2020-02-23,5
2020-02-24,7
2020-02-25,11
2020-02-26,16
2020-02-27,19
2020-02-28,19
2020-02-29,21
2020-03-01,18
2020-03-02,26
2020-03-03,26
2020-03-04,24
2020-03-05,29
2020-03-06,31
2020-03-07,31
2020-03-08,30
2020-03-09,37
2020-03-10,45
2020-03-11,57
2020-03-12,100
2020-03-13,92
2020-03-14,80
2020-03-15,97
2020-03-16,97
2020-03-17,86
2020-03-18,79
2020-03-19,78
2020-03-20,76
2020-03-21,74
2020-03-22,76
2020-03-23,71
2020-03-24,64
2020-03-25,59
2020-03-26,60
2020-03-27,59
2020-03-28,56
2020-03-29,55
2020-03-30,50
2020-03-31,48
2020-04-01,47
2020-04-02,45
2020-04-03,53
2020-04-04,56
2020-04-05,56
2020-04-06,54
2020-04-07,51
2020-04-08,48
2020-04-09,45
2020-04-10,43
2020-04-11,34
2020-04-12,29
2020-04-13,38
2020-04-14,40
2020-04-15,39
2020-04-16,37
2020-04-17,37
2020-04-18,38
2020-04-19,27
2020-04-20,32
2020-04-21,34
2020-04-22,25
2020-04-23,31
2020-04-24,31
2020-04-25,22
2020-04-26,19
2020-04-27,19
2020-04-28,18
2020-04-29,18
2020-04-30,15
2020-05-01,16
2020-05-02,16
2020-05-03,17
2020-05-04,16
2020-05-05,16
2020-05-06,15
2020-05-07,15
2020-05-08,14
2020-05-09,14
2020-05-10,14
2020-05-11,15
2020-05-12,14
2020-05-13,14
2020-05-14,13
2020-05-15,13
2020-05-16,13
2020-05-17,13
2020-05-18,13
2020-05-19,11
2020-05-20,11
2020-05-21,11
2020-05-22,10
2020-05-23,10
2020-05-24,11
2020-05-25,10
2020-05-26,11
2020-05-27,10
2020-05-28,9
2020-05-29,8
2020-05-30,8
2020-05-31,7
2020-06-01,8
2020-06-02,7
2020-06-03,7
2020-06-04,7
2020-06-05,7
2020-06-06,7
2020-06-07,7
2020-06-08,7
2020-06-09,7
2020-06-10,7
2020-06-11,8
2020-06-12,8
2020-06-13,7
2020-06-14,7
2020-06-15,8
2020-06-16,8
2020-06-17,8
2020-06-18,8
2020-06-19,8
2020-06-20,8
2020-06-21,8
2020-06-22,9
2020-06-23,9
2020-06-24,10
2020-06-25,10
2020-06-26,11
2020-06-27,11
2020-06-28,11
2020-06-29,11
2020-06-30,11
2020-07-01,11
2020-07-02,11
2020-07-03,10
2020-07-04,10
2020-07-05,10
2020-07-06,10
2020-07-07,10
2020-07-08,10
2020-07-09,10
2020-07-10,10
2020-07-11,9
2020-07-12,10
2020-07-13,11
2020-07-14,11
2020-07-15,10
2020-07-16,9
2020-07-17,9
2020-07-18,8
2020-07-19,8
2020-07-20,8
2020-07-21,8
2020-07-22,8
2020-07-23,7
2020-07-24,7
2020-07-25,7
2020-07-26,7
2020-07-27,7
2020-07-28,7
2020-07-29,7
2020-07-30,7
2020-07-31,6
2020-08-01,6
2020-08-02,6
